molecule	expected_pathway
113	expected_pathways/113.json
tryptophan	expected_pathways/tryptophan.json
graphio_test	expected_pathways/graphio_test.json
sucrose	expected_pathways/sucrose.json
ketoconazole	expected_pathways/ketoconazole.json
icosane	expected_pathways/icosane.json
THC	expected_pathways/THC.json
ceftiofur	expected_pathways/ceftiofur.json
folic_acid	expected_pathways/folic_acid.json
dienogest	expected_pathways/dienogest.json
methionine	expected_pathways/methionine.json
thioflavin	expected_pathways/thioflavin.json
8808	expected_pathways/8808.json
